T': 500.46543191, x: 540, x1: 540, y: 3905, y1: 3905, Tw: 0.17363713, Ts: 0.08353074, T_avg: 0.25716788
T': 500.13684228, x: 551, x1: 551, y: 3928, y1: 3928, Tw: 0.16902468, Ts: 0.08418350, T_avg: 0.25320819
T': 500.28208932, x: 516, x1: 516, y: 3970, y1: 3970, Tw: 0.17724172, Ts: 0.08255071, T_avg: 0.25979243
T': 500.35204732, x: 517, x1: 517, y: 4079, y1: 4079, Tw: 0.16842808, Ts: 0.08252675, T_avg: 0.25095483
T': 500.48258436, x: 575, x1: 575, y: 3921, y1: 3921, Tw: 0.16972875, Ts: 0.08321133, T_avg: 0.25294008
T': 500.27891933, x: 567, x1: 567, y: 3905, y1: 3905, Tw: 0.18448596, Ts: 0.08226670, T_avg: 0.26675266
T': 500.38976921, x: 626, x1: 626, y: 3937, y1: 3937, Tw: 0.17585643, Ts: 0.08204436, T_avg: 0.25790079
T': 500.61750234, x: 517, x1: 517, y: 3990, y1: 3990, Tw: 0.16972511, Ts: 0.08337106, T_avg: 0.25309617
T': 500.27359950, x: 543, x1: 543, y: 3882, y1: 3882, Tw: 0.16902805, Ts: 0.08425010, T_avg: 0.25327815
T': 500.32517267, x: 531, x1: 531, y: 3947, y1: 3947, Tw: 0.17262234, Ts: 0.08379141, T_avg: 0.25641375
