T': 100.42369308, x: 116, x1: 116, y: 782, y1: 782, Tw: 0.17442351, Ts: 0.07871728, T_avg: 0.25314080
T': 100.26556090, x: 102, x1: 102, y: 790, y1: 790, Tw: 0.15739956, Ts: 0.08095374, T_avg: 0.23835330
T': 100.63367256, x: 87, x1: 87, y: 799, y1: 799, Tw: 0.16912896, Ts: 0.08655642, T_avg: 0.25568538
T': 100.44123597, x: 129, x1: 129, y: 804, y1: 804, Tw: 0.19246336, Ts: 0.08778615, T_avg: 0.28024950
T': 100.06229370, x: 115, x1: 115, y: 815, y1: 815, Tw: 0.17772443, Ts: 0.08187196, T_avg: 0.25959639
T': 100.85854794, x: 138, x1: 138, y: 814, y1: 814, Tw: 0.18969264, Ts: 0.08130018, T_avg: 0.27099282
T': 100.43119420, x: 87, x1: 87, y: 832, y1: 832, Tw: 0.16084444, Ts: 0.08511068, T_avg: 0.24595512
T': 100.28892367, x: 91, x1: 91, y: 834, y1: 834, Tw: 0.14993242, Ts: 0.08496846, T_avg: 0.23490088
T': 100.18224272, x: 116, x1: 116, y: 785, y1: 785, Tw: 0.19240030, Ts: 0.08661140, T_avg: 0.27901170
T': 100.35103079, x: 125, x1: 125, y: 762, y1: 762, Tw: 0.16231613, Ts: 0.08607803, T_avg: 0.24839416
