T': 1500.53430246, x: 1621, x1: 1621, y: 11906, y1: 11906, Tw: 0.17067134, Ts: 0.08362783, T_avg: 0.25429917
T': 1500.53891248, x: 1614, x1: 1614, y: 11815, y1: 11815, Tw: 0.16929853, Ts: 0.08292346, T_avg: 0.25222198
T': 1500.20036039, x: 1733, x1: 1733, y: 11919, y1: 11919, Tw: 0.17500474, Ts: 0.08344591, T_avg: 0.25845066
T': 1500.54532627, x: 1733, x1: 1733, y: 11953, y1: 11953, Tw: 0.17427030, Ts: 0.08135559, T_avg: 0.25562589
T': 1500.36455242, x: 1519, x1: 1519, y: 11935, y1: 11935, Tw: 0.17007377, Ts: 0.08346819, T_avg: 0.25354197
T': 1500.27623447, x: 1599, x1: 1599, y: 12010, y1: 12010, Tw: 0.17013877, Ts: 0.08343090, T_avg: 0.25356967
T': 1500.06904484, x: 1729, x1: 1729, y: 11938, y1: 11938, Tw: 0.17560195, Ts: 0.08290156, T_avg: 0.25850351
T': 1500.83194383, x: 1596, x1: 1596, y: 11849, y1: 11849, Tw: 0.17103250, Ts: 0.08329959, T_avg: 0.25433208
T': 1500.69777952, x: 1599, x1: 1599, y: 11929, y1: 11929, Tw: 0.16978981, Ts: 0.08305729, T_avg: 0.25284710
T': 1500.42182653, x: 1487, x1: 1487, y: 11917, y1: 11917, Tw: 0.16787970, Ts: 0.08326306, T_avg: 0.25114276
