T': 10.20817391, x: 14, x1: 14, y: 78, y1: 78, Tw: 0.16416936, Ts: 0.08211146, T_avg: 0.24628082
T': 10.20134892, x: 18, x1: 18, y: 84, y1: 84, Tw: 0.24537389, Ts: 0.08332953, T_avg: 0.32870342
T': 10.23864956, x: 19, x1: 19, y: 85, y1: 85, Tw: 0.21067720, Ts: 0.08507785, T_avg: 0.29575505
T': 10.42530825, x: 14, x1: 14, y: 68, y1: 68, Tw: 0.27222908, Ts: 0.06260788, T_avg: 0.33483695
T': 10.67318892, x: 15, x1: 15, y: 76, y1: 76, Tw: 0.15707982, Ts: 0.08075004, T_avg: 0.23782985
T': 10.61781347, x: 6, x1: 6, y: 77, y1: 77, Tw: 0.10414451, Ts: 0.08332330, T_avg: 0.18746781
T': 10.68918601, x: 3, x1: 3, y: 87, y1: 87, Tw: 0.18863233, Ts: 0.08523631, T_avg: 0.27386864
T': 11.11893863, x: 16, x1: 16, y: 82, y1: 82, Tw: 0.20654175, Ts: 0.08249406, T_avg: 0.28903581
T': 10.11811027, x: 10, x1: 10, y: 77, y1: 77, Tw: 0.16076229, Ts: 0.08643639, T_avg: 0.24719868
T': 10.25284085, x: 11, x1: 11, y: 84, y1: 84, Tw: 0.18041013, Ts: 0.07242997, T_avg: 0.25284010
