T': 1000.27557807, x: 987, x1: 987, y: 7933, y1: 7933, Tw: 0.16887722, Ts: 0.08282297, T_avg: 0.25170019
T': 1000.49358107, x: 1102, x1: 1102, y: 7882, y1: 7882, Tw: 0.17573321, Ts: 0.08248873, T_avg: 0.25822195
T': 1000.16100528, x: 1191, x1: 1191, y: 7909, y1: 7909, Tw: 0.17951849, Ts: 0.08472102, T_avg: 0.26423951
T': 1000.63026239, x: 1114, x1: 1114, y: 7952, y1: 7952, Tw: 0.16575373, Ts: 0.08423098, T_avg: 0.24998471
T': 1000.54162274, x: 1084, x1: 1084, y: 7877, y1: 7877, Tw: 0.17343922, Ts: 0.08377083, T_avg: 0.25721005
T': 1000.27400548, x: 1104, x1: 1104, y: 7824, y1: 7824, Tw: 0.17284891, Ts: 0.08228332, T_avg: 0.25513223
T': 1000.13423475, x: 1153, x1: 1153, y: 8040, y1: 8040, Tw: 0.17940326, Ts: 0.08188797, T_avg: 0.26129123
T': 1000.48543130, x: 1130, x1: 1130, y: 7941, y1: 7941, Tw: 0.17753444, Ts: 0.08349187, T_avg: 0.26102631
T': 1000.32563806, x: 1110, x1: 1110, y: 7881, y1: 7881, Tw: 0.17289551, Ts: 0.08377621, T_avg: 0.25667172
T': 1000.32756493, x: 976, x1: 976, y: 8013, y1: 8013, Tw: 0.16590414, Ts: 0.08331283, T_avg: 0.24921697
